1J09_A_500_GLU;0.0000,1.3102,1.2310,1.0117,2.3423,1.8792,1.7731,1.0098,1.9840,1.1197,1.1672,1.4820,1.4530,1.8923,2.0529,1.6792,1.3285,1.6630,1.5958,1.7697,1.6321,1.9542,1.7237,0.9604,1.3600,0.9143,1.0510,0.7953,0.9763,1.2748,1.1442,0.9529,1.3628,2.2062,1.2434,1.6919,1.7015,1.8054,0.7782,2.0842,1.1930,1.8394,1.8325,1.0505,0.8617,1.3759,1.8028,1.4306,1.6540,1.0625,0.2369,1.8110,1.4954,1.6384,1.9064,1.7635,1.5653,1.4383,3.9636,3.5827,2.3671,4.0566,1.6885,1.7777,1.8035,1.6840,1.5512,1.2704,2.1901,1.4549,1.8107,1.7554,1.6464,1.6274,1.7082,0.4901,1.2440,1.9826,1.1207,1.1236,1.0734,1.2713,1.1894,1.5660,1.1730,1.7199,1.6913,1.3473,1.9329,1.3285,1.5219,1.1124,1.6505,1.4108,1.2019,1.9583,1.9277,2.0248,1.7997,1.1490,2.0279,0.7845,2.0168,1.4523,1.5977,0.7757,1.5608,1.1445,1.7272,0.7717,1.3518,2.8782,3.6577,3.0771,1.3738,1.7297,1.4660,1.2613,1.3337,2.0761,3.2231,2.3579,3.8282,1.9720,3.6884,2.9836,2.4082,3.8246,2.9011,1.8935,1.1500,1.2518,1.2711,3.3266,4.0828,1.7041,0.9830,2.1049,2.4841,3.8528
1K97_A_501_ASP;1.3102,0.0000,1.3013,1.5193,0.9475,1.4929,1.6241,1.8769,1.2360,1.7514,1.2975,1.8817,0.6903,1.5495,1.3012,1.5091,1.3422,1.2633,1.5453,1.4916,1.4101,1.5520,1.0421,1.7589,1.6549,1.4202,1.2761,1.3899,1.6237,1.4424,1.7029,1.5017,1.5377,1.1312,1.2827,1.3186,1.4106,1.1370,0.8102,0.9857,1.4080,1.1301,1.3177,1.1658,1.2826,1.3021,1.0729,1.2661,1.6320,1.4061,0.9824,1.3675,1.9251,1.7957,1.4635,1.8819,1.2456,1.9373,3.3138,3.0718,3.6816,2.9547,1.5938,0.9927,1.0251,1.4546,1.4695,1.3514,1.9979,1.8553,1.6197,1.7012,2.2777,2.2767,2.5827,1.4723,1.4274,1.1621,1.0172,1.6162,0.9302,1.3061,1.4051,0.8927,1.4046,1.4133,0.9057,1.2335,1.1015,0.9023,1.3595,1.5946,1.4586,1.5451,1.6612,1.5816,1.5760,1.6120,2.4828,1.7836,1.7947,1.7600,1.7335,1.4081,1.8443,1.5065,1.6763,1.1020,1.7314,1.3169,1.2475,2.8060,2.8424,3.0886,1.2009,0.9033,1.3612,1.7922,1.7941,1.7617,3.0655,3.1569,2.7723,3.1393,2.7690,3.1246,3.1865,2.7651,3.0917,1.6636,1.5717,1.5268,1.7553,3.7920,3.7723,1.1836,1.2439,0.7854,3.2904,3.4553
2HA4_A_546_ACH;1.2310,1.3013,0.0000,1.6179,1.9181,1.7790,1.3657,1.9455,1.6991,1.5251,1.8051,1.9022,1.9372,1.5549,1.4368,2.2283,1.1158,1.2033,1.1951,1.0327,1.4548,1.4305,1.7278,1.8754,1.5424,1.2628,1.4587,1.5239,1.8556,2.5536,1.0168,1.2221,2.0947,1.9267,1.2637,1.8263,1.6037,1.8405,1.3342,1.9592,1.3932,1.6902,1.9399,1.4461,1.0526,1.1936,1.7146,1.8234,0.9241,1.8678,1.6087,1.3177,1.5612,1.5846,1.3420,1.8476,1.5935,1.6519,4.2280,2.6046,2.8339,2.9727,1.6106,1.3568,1.4095,1.0304,1.1534,1.2760,1.8518,1.8669,1.6187,2.2152,1.8188,1.8522,1.5837,1.5562,1.3401,1.4275,1.1357,0.8333,0.9723,1.1327,1.1443,1.6700,1.3667,1.0972,1.5037,0.9106,1.2239,1.2115,1.6174,1.5925,1.3245,2.5564,1.5423,2.3553,1.8434,1.1993,1.8982,1.9744,2.2015,1.9053,1.6155,1.5018,1.7791,2.6925,1.7307,1.1372,2.9399,1.0608,1.2325,2.2786,3.0581,3.1568,1.3911,1.7520,1.4710,1.1047,1.1661,1.7996,3.0992,3.3233,3.0486,2.4061,3.3132,3.2202,3.0598,3.0604,3.1247,1.7086,1.9960,2.1940,1.9317,3.6274,3.5317,1.5828,0.6473,1.4402,2.6071,3.8073
2HA4_B_602_ACH;1.0117,1.5193,1.6179,0.0000,1.2430,1.8515,1.8086,1.8182,1.3346,1.2188,1.0056,1.7576,2.0488,1.6472,1.2286,2.0857,1.6847,1.6482,1.6162,1.8218,1.7198,1.2331,1.7226,0.9954,1.4879,1.1140,1.2787,1.7649,1.9858,1.6193,1.2468,1.1816,1.3369,1.1277,0.9886,1.9038,1.5575,1.8789,1.0268,1.8608,0.9736,2.0206,2.1082,0.7750,1.1328,1.5150,1.3754,1.5402,1.7432,0.7467,0.7260,1.9486,1.2459,2.2175,1.4945,2.0563,1.5165,1.3130,3.0337,3.8591,3.7464,3.3692,1.0826,2.0867,1.8198,0.6683,1.4700,2.4534,1.6998,1.0439,1.2632,1.9396,1.6124,1.5250,2.3674,1.3801,1.0488,1.4286,1.3246,1.3251,1.3508,1.5025,1.3851,0.9604,0.9055,1.3140,1.5102,0.8993,1.5362,1.1646,1.0521,1.1692,1.4961,1.1360,1.0538,2.0506,1.9024,2.1135,1.7509,1.4993,2.3210,1.2712,2.0125,1.4593,1.0532,2.0705,1.5479,1.8545,1.0607,1.5025,1.0825,2.8029,3.0482,3.0000,1.5067,1.9722,0.9574,1.2174,2.1271,2.0369,2.1632,2.0990,3.2392,2.2352,3.2401,2.2319,2.0991,3.2299,2.1842,1.9141,1.3007,1.3513,1.1863,2.6823,2.5867,1.5166,1.7287,1.8353,3.3985,4.3462
2LGS_G_471_GLU;2.3423,0.9475,1.9181,1.2430,0.0000,1.7429,1.2262,1.3315,1.6757,2.3160,2.1514,2.1032,1.8681,2.2272,1.5286,1.0252,1.6377,1.5023,1.4009,0.9285,1.8166,1.6826,1.2235,2.0445,1.4655,1.9465,1.8306,1.9251,1.8798,1.5366,1.8315,1.2921,1.5383,1.5799,0.8720,1.9856,1.4670,1.4274,1.3713,1.5824,1.7354,2.0490,1.0762,1.7327,1.1510,1.5863,1.7380,1.0789,1.2160,0.8551,0.8198,1.4643,2.3290,2.3306,1.2738,1.8477,1.7178,2.3855,3.9569,4.0890,2.8599,2.6999,1.8044,0.9743,1.7652,1.8173,1.5249,1.9246,1.8902,1.5337,1.5828,1.5594,1.2920,1.2797,1.4199,1.5485,1.7681,1.7290,1.4696,0.8705,1.3179,1.2987,1.8271,0.9453,1.7096,1.2563,1.4894,1.3094,0.6688,0.6582,1.2813,1.7554,1.3046,1.8822,1.2826,1.9434,1.9482,1.1245,1.7358,1.9461,1.9393,1.9577,1.5191,1.7077,1.7577,2.0785,1.4974,1.4757,1.5731,2.0194,0.9030,3.2929,3.5566,3.6179,1.4744,1.1914,1.2628,1.4368,1.7382,1.6631,3.8042,3.5446,3.7177,3.0571,3.6694,3.9214,3.4780,3.7024,3.8290,0.9436,2.0790,1.4955,1.4576,3.4416,3.3660,1.3694,1.1751,0.5360,2.5238,3.7086
2QMZ_A_501_LDP;1.8792,1.4929,1.7790,1.8515,1.7429,0.0000,1.4929,0.5156,0.8011,1.9861,0.7411,1.2124,1.3947,1.3621,1.3159,1.2404,1.1870,1.8617,1.4753,1.5136,1.0832,1.8874,0.7308,1.4359,1.8427,1.9319,1.8270,2.2575,1.7621,0.6594,1.4211,1.4553,0.9773,1.1861,1.0568,0.9335,1.4076,0.5472,1.1869,1.0178,0.9925,0.8809,1.1547,1.7995,1.2206,1.4484,1.5175,1.6482,1.4340,0.8391,1.5667,1.8871,1.1021,2.3269,1.0583,2.2288,0.9492,1.0734,3.7631,3.0374,3.2961,3.4481,1.9745,1.2163,1.2279,1.1302,1.4454,1.7689,1.1116,1.4068,1.5132,0.7130,2.2043,2.1342,2.1317,0.5460,1.7625,0.7329,1.0795,1.4803,1.2390,1.7278,1.4871,0.9230,1.6967,1.7139,1.4870,1.5270,1.6639,1.9892,1.3163,1.9228,1.3053,1.9917,0.9728,1.4538,1.4272,1.5783,1.8245,0.8518,0.8438,0.8091,0.4416,1.0103,2.1918,1.0255,1.3633,1.4406,1.1609,2.0192,1.3181,2.4938,3.1704,3.2905,1.2285,0.9869,1.4303,0.9227,0.8882,1.7400,3.3827,2.6179,2.6770,3.1477,3.2246,3.4387,2.7404,3.6571,3.4112,1.3056,1.0853,0.8510,0.4807,3.1291,2.6568,1.0338,0.6421,1.0858,3.4815,2.5196
2QMZ_B_502_LDP;1.7731,1.6241,1.3657,1.8086,1.2262,1.4929,0.0000,1.0546,1.0589,1.8240,2.2497,1.3783,1.0430,1.6695,1.3418,0.7741,1.8821,1.1677,1.8562,1.6871,1.8182,1.7189,1.2829,1.5038,1.8571,1.5824,2.1894,0.7378,2.3461,2.1871,1.4298,1.4146,1.5369,1.2567,0.9540,1.1959,1.4452,1.1867,0.9245,1.0765,1.7622,1.7530,1.3500,1.4942,0.9963,1.5733,1.3362,1.6313,1.1093,1.6753,1.6365,1.7862,1.9640,1.2534,1.4564,1.1402,1.0868,2.0646,4.1984,2.4158,2.6613,2.6226,1.6774,0.9916,1.1259,0.8918,1.2379,1.5446,2.1584,1.3803,1.3788,1.0895,2.3010,1.2160,2.0768,1.1958,1.8062,1.0551,0.9206,1.6017,0.9157,1.5202,1.7027,1.2477,1.7227,2.0717,0.9659,0.7017,0.7986,2.0021,2.0589,1.3574,1.1275,1.3816,0.8674,1.3804,1.7189,1.2743,1.9337,1.5206,1.4205,1.4768,0.9853,1.3654,2.3627,1.5449,1.8264,1.5749,1.3932,1.8113,1.2221,3.1796,2.8973,3.1204,1.4704,1.3210,1.2733,1.1919,1.4301,1.2964,3.3292,3.5095,3.1942,2.9825,3.1717,3.4144,3.5661,3.3822,2.9557,1.2412,1.4354,1.4563,1.0975,3.6989,3.5417,1.0078,0.4760,0.7237,2.2975,3.0624
2VQ5_B_1197_LDP;1.0098,1.8769,1.9455,1.8182,1.3315,0.5156,1.0546,0.0000,0.8661,1.0080,2.2028,1.2001,2.1431,1.4518,1.9314,0.9870,1.4709,1.5257,1.0587,1.3452,1.4302,1.7487,0.7279,1.6573,1.8363,1.8800,1.9141,2.4166,2.1707,2.0473,1.7494,1.1245,1.0020,1.1351,1.5205,1.2441,1.1404,1.1163,1.1948,0.8620,1.7623,0.8840,1.0149,1.3772,0.7635,1.7018,1.5213,0.9693,1.3813,0.8249,1.6629,1.2747,1.2994,2.0559,1.3889,0.9965,1.0478,1.2989,3.5410,3.5948,3.8330,3.5250,1.4301,1.4211,1.2660,1.6450,1.6862,1.7507,1.6755,1.2619,1.4736,0.7713,1.5379,2.2066,1.8833,0.7285,1.6105,0.7361,1.2003,1.3359,1.0595,1.0002,1.2995,0.7150,0.7678,1.7642,1.4763,0.8511,1.4638,1.8868,1.1256,0.7622,0.9415,1.8384,1.2819,2.1673,1.1809,1.6239,1.9557,0.8301,0.8247,0.7647,0.0822,1.0890,2.1958,1.1088,0.9492,1.1177,0.8699,1.6215,0.7174,2.8419,3.8271,4.1527,1.1847,1.6726,1.4287,1.1767,2.0532,1.5749,3.9528,3.1821,3.8100,3.1189,3.7949,3.8989,2.2989,3.3911,3.9818,1.4405,0.9080,1.1512,0.4660,4.4208,3.6918,0.7502,0.1820,1.1410,3.7332,3.6409
2XXU_B_900_GLU;1.9840,1.2360,1.6991,1.3346,1.6757,0.8011,1.0589,0.8661,0.0000,1.4819,2.1829,1.7680,1.5902,0.8982,1.0165,1.2751,0.6532,1.3941,1.3849,1.7308,1.4226,1.3623,1.9043,2.0595,1.6622,1.4839,1.2338,1.2377,2.0546,1.4462,1.9188,1.7939,0.9851,1.2168,1.2541,1.0860,0.6940,1.2015,1.2219,0.7039,1.4209,1.5994,0.8407,1.6098,1.3219,1.6697,0.7288,1.3192,1.8525,1.2022,1.6872,1.3335,1.7079,2.1529,1.5992,1.4565,1.4714,1.7703,3.4601,2.8556,3.4539,3.0958,1.8189,1.1505,1.0617,1.7344,1.7932,1.3645,1.9880,2.0504,1.9685,1.1696,2.1586,2.0846,2.1218,2.0108,1.6151,2.0874,0.9859,1.4403,1.2718,1.5989,1.4231,0.9344,1.1339,1.4767,1.5535,1.3037,1.4705,1.1622,1.5476,1.7120,1.5402,1.2378,1.2248,1.5003,1.5833,1.6182,1.4925,1.0497,1.0367,1.0186,1.2922,1.4739,2.3836,1.1881,1.4168,1.2374,1.4746,1.6958,1.5757,2.7426,3.9859,3.9651,1.3887,1.0738,1.2716,1.7480,1.7171,1.5086,3.3449,2.7636,4.0300,3.2791,4.0084,3.4556,2.6366,3.4040,3.3535,1.5474,1.1455,1.0579,1.1359,3.3711,3.2324,1.0213,1.1158,0.9780,3.5525,3.0145
2XZ5_D_1211_ACH;1.1197,1.7514,1.5251,1.2188,2.3160,1.9861,1.8240,1.0080,1.4819,0.0000,1.4455,2.1084,1.3166,1.8678,1.9113,2.1680,1.2616,1.4940,2.0656,2.3990,2.0315,1.8508,1.3284,1.1093,1.9031,0.3425,1.9752,2.0676,2.3370,2.3764,0.8440,0.9610,1.3310,1.1305,2.0625,1.8882,1.3536,1.6736,0.9538,1.7250,1.4795,1.5537,1.7093,1.2924,1.1833,1.5726,1.9177,1.7405,1.9116,0.6992,1.0240,1.9740,1.5310,2.1891,1.2269,2.0728,1.8360,1.5519,4.1981,3.6809,2.8041,3.1572,1.1175,2.0759,1.9925,1.2700,1.7394,1.2494,1.9653,1.6708,1.9608,1.8926,2.3006,1.7566,2.2258,1.6059,1.6788,1.6910,0.9083,1.9858,0.7395,2.0211,2.0261,0.9215,1.0171,1.9908,1.6132,1.9030,1.4425,1.8193,1.5691,1.1754,2.0478,1.4843,1.4952,1.4453,1.4521,2.2404,1.7209,1.6184,1.6186,1.0651,2.4678,1.8671,1.4364,0.9368,1.4132,1.4467,1.2437,1.3347,0.7126,2.4436,3.4760,3.5444,1.6455,1.8065,1.2759,2.0695,1.4959,2.0796,3.3955,2.3722,3.6802,1.8653,3.6658,3.4966,2.3415,3.6683,3.4450,1.8788,0.8201,1.2695,1.4112,3.2264,3.4899,1.4772,0.5942,1.6175,2.5958,3.8150
2XZ5_E_1211_ACH;1.1672,1.2975,1.8051,1.0056,2.1514,0.7411,2.2497,2.2028,2.1829,1.4455,0.0000,1.7828,1.7647,1.7452,1.6651,2.1114,1.3892,1.6409,1.3587,1.4608,0.9616,0.9763,1.8489,1.2239,1.0554,1.9831,0.9709,1.7355,1.5252,1.2144,1.3066,1.2351,2.0148,2.1749,0.8333,1.5455,1.9790,1.9130,1.3418,1.9717,0.9376,1.7780,1.9053,1.0670,1.8739,1.4198,1.7844,1.5437,1.8386,1.1534,0.7794,1.4426,1.1523,1.9390,1.9068,1.5445,1.3621,1.1336,3.5254,3.8090,3.7993,3.8820,1.0624,1.6563,1.7469,1.8435,1.0560,1.2608,1.4999,1.6328,1.0197,2.0315,1.3997,1.3759,1.4817,1.2896,1.5056,1.9347,1.3949,1.4829,1.4987,0.8387,1.3344,1.1221,0.7650,0.6313,1.3501,1.2033,1.9547,0.7872,1.1653,1.1306,1.0141,0.9520,1.1387,1.8227,1.3289,1.9310,1.6133,2.3307,2.1505,1.5540,2.2026,1.9584,1.0283,1.3456,1.9206,1.7122,1.3236,1.9172,0.5215,3.4345,4.3376,2.9566,1.3740,0.7962,2.1288,1.8996,2.0049,2.0045,1.9773,3.5779,2.8493,2.5177,3.8375,2.0085,2.1887,2.8348,1.9791,1.8288,1.9707,1.4466,1.3622,2.2314,3.3579,1.4892,1.9115,1.9213,3.5125,4.1857
